Período,Resíduo PARp,El Nino Forte,El Nino Médio,El Nino Fraco,La Nina Forte,La Nina Medio/Fraco,Manchas Solares,SOI,ENA,delta_ena,residuo_desp
Oct-36,-0.51,0.00,0.00,0.00,0.00,0.00,89.00,-0.10,11911,3862.55,-356.3010245
Nov-36,-0.48,0.00,0.00,0.00,0.00,0.00,115.40,-13.90,6728,-1320.45,-1715.13111
Dec-36,0.21,0.00,0.00,0.00,0.00,0.00,123.40,0.60,4120,-3928.45,-1695.620808
Jan-37,0.88,0.00,0.00,0.00,0.00,0.00,132.50,9.40,4407,-3641.45,-985.1625
Feb-37,-1.18,0.00,0.00,0.00,0.00,0.00,128.50,-5.00,4018,-4030.45,-2005.276044
Mar-37,-0.48,0.00,0.00,0.00,0.00,0.00,83.90,6.20,7108,-940.45,2514.73932
Apr-37,0.25,0.00,0.00,0.00,0.00,0.00,109.30,2.00,5965,-2083.45,-366.380388
May-37,0.12,0.00,0.00,0.00,0.00,0.00,116.70,-0.30,3594,-4454.45,-4152.422988
Jun-37,0.01,0.00,0.00,0.00,0.00,0.00,130.30,3.40,2782,-5266.45,-3550.718625
Jul-37,-0.50,0.00,0.00,0.00,0.00,0.00,145.10,-5.60,4275,-3773.45,-157.9450194
Aug-37,-0.22,0.00,0.00,0.00,0.00,0.00,137.70,3.30,6032,-2016.45,-814.049152
Sep-37,-0.19,0.00,0.00,0.00,0.00,0.00,100.70,0.80,7223,-825.45,-1505.68005
Oct-37,0.78,0.00,0.00,0.00,0.00,0.00,124.90,-2.50,10987,2938.55,730.388788
Nov-37,1.09,0.00,0.00,0.00,0.00,0.00,74.40,-2.00,10931,2882.55,2883.399063
Dec-37,0.42,0.00,0.00,0.00,0.00,0.00,88.80,6.70,4863,-3185.45,-2610.798512
Jan-38,-0.87,0.00,0.00,0.00,0.00,0.00,98.40,7.50,7193,-855.45,1519.5
Feb-38,-0.74,0.00,0.00,0.00,0.00,0.00,119.20,3.40,11962,3913.55,4092.226052
Mar-38,-0.49,0.00,0.00,0.00,0.00,0.00,86.50,-3.60,4004,-4044.45,-4336.98174
Apr-38,-0.18,0.00,0.00,0.00,0.00,0.00,101.00,3.60,5731,-2317.45,1403.197884
May-38,0.18,0.00,0.00,0.00,0.00,0.00,127.40,13.10,12327,4278.55,4753.938588
Jun-38,-0.06,0.00,0.00,0.00,0.00,0.00,97.50,18.00,16635,8586.55,5089.551875
Jul-38,0.22,0.00,0.00,0.00,0.00,0.00,165.30,18.50,18404,10355.55,2498.97231
Aug-38,0.01,0.00,0.00,0.00,0.00,0.00,115.70,13.00,5320,-2728.45,-6561.8448
Sep-38,-0.25,0.00,0.00,0.00,0.00,0.00,89.60,7.50,4917,-3131.45,-3398.410276
Oct-38,-0.01,0.00,0.00,0.00,0.00,0.00,99.10,12.80,4487,-3561.45,-4653.463918
Nov-38,-0.39,0.00,0.00,0.00,0.00,0.00,122.20,1.90,4322,-3726.45,-943.037205
Dec-38,0.40,0.00,0.00,0.00,1.00,0.00,92.70,13.80,2856,-5192.45,-2010.428672
Jan-39,0.17,0.00,0.00,0.00,1.00,0.00,80.30,17.00,3544,-4504.45,-1369.5375
Feb-39,-0.18,0.00,0.00,0.00,1.00,0.00,77.40,7.70,4234,-3814.45,-1217.284936
Mar-39,-1.36,0.00,0.00,0.00,1.00,0.00,64.60,11.60,8129,80.55,3433.6971
Apr-39,-0.27,0.00,0.00,0.00,1.00,0.00,109.10,9.40,5251,-2797.45,-1739.411388
May-39,0.23,0.00,0.00,0.00,1.00,0.00,118.30,-1.10,9776,1727.55,2558.466204
Jun-39,-0.06,0.00,0.00,0.00,1.00,0.00,101.00,-1.50,7213,-835.45,-2809.75025
Jul-39,-0.06,0.00,0.00,0.00,1.00,0.00,97.60,8.10,6463,-1585.45,-2954.839068
Aug-39,-0.37,0.00,0.00,0.00,1.00,0.00,105.80,-0.50,3875,-4173.45,-3750.950196
Sep-39,-0.05,0.00,0.00,0.00,1.00,0.00,112.60,-9.40,8751,702.55,1274.435027
Oct-39,-0.33,0.00,0.00,0.00,1.00,0.00,88.10,-14.70,5251,-2797.45,-5745.249931
Nov-39,0.45,0.00,0.00,0.00,1.00,0.00,68.10,-8.00,13043,4994.55,7451.05584
Dec-39,-0.17,1.00,0.00,0.00,0.00,0.00,42.10,-8.60,18520,10471.55,10213.07112
Jan-40,0.10,1.00,0.00,0.00,0.00,0.00,50.50,-0.10,9202,1153.55,-1642.95
Feb-40,0.99,1.00,0.00,0.00,0.00,0.00,59.40,-4.10,6404,-1644.45,-2797.355246
Mar-40,0.30,1.00,0.00,0.00,0.00,0.00,83.30,-10.60,3668,-4380.45,-2050.910334
Apr-40,-1.12,1.00,0.00,0.00,0.00,0.00,60.70,-9.60,7119,-929.45,3008.052234
May-40,0.15,1.00,0.00,0.00,0.00,0.00,54.40,-14.50,7368,-680.45,-1233.10698
Jun-40,-0.41,1.00,0.00,0.00,0.00,0.00,83.90,-19.30,4887,-3161.45,-3698.443875
Jul-40,-0.36,1.00,0.00,0.00,0.00,0.00,67.50,-15.40,5490,-2558.45,-1636.073316
Aug-40,-0.29,1.00,0.00,0.00,0.00,0.00,105.50,-18.50,7207,-841.45,-72.1327432
Sep-40,-0.12,1.00,0.00,0.00,0.00,0.00,66.50,-19.60,4220,-3828.45,-5190.761832
Oct-40,-0.29,1.00,0.00,0.00,0.00,0.00,55.00,-18.40,6566,-1482.45,-2237.065477
Nov-40,1.04,1.00,0.00,0.00,0.00,0.00,58.40,-6.70,3784,-4264.45,-2371.035372
Dec-40,-0.89,1.00,0.00,0.00,0.00,0.00,68.30,-29.40,5715,-2333.45,1060.804136
Jan-41,-0.09,1.00,0.00,0.00,0.00,0.00,45.60,-9.70,5907,-2141.45,-89.11875
Feb-41,-0.94,1.00,0.00,0.00,0.00,0.00,44.50,-15.40,10803,2754.55,3785.575044
Mar-41,-0.55,1.00,0.00,0.00,0.00,0.00,46.40,-10.60,6277,-1771.45,-1517.223924
Apr-41,0.38,1.00,0.00,0.00,0.00,0.00,32.80,-11.20,6845,-1203.45,1049.990634
May-41,-0.95,1.00,0.00,0.00,0.00,0.00,29.50,-6.60,15297,7248.55,6898.96704
Jun-41,0.18,1.00,0.00,0.00,0.00,0.00,59.80,-14.40,11048,2999.55,-2270.26175
Jul-41,0.01,1.00,0.00,0.00,0.00,0.00,66.90,-20.60,7439,-609.45,-6359.3919
Aug-41,0.18,1.00,0.00,0.00,0.00,0.00,60.00,-19.10,14816,6767.55,6842.38744
Sep-41,0.48,1.00,0.00,0.00,0.00,0.00,65.90,-8.20,8386,337.55,-5441.770854
Oct-41,0.42,1.00,0.00,0.00,0.00,0.00,46.30,-20.20,8207,158.55,-2612.585506
Nov-41,-0.05,1.00,0.00,0.00,0.00,0.00,38.40,-9.30,10566,2517.55,3708.43359
Dec-41,-0.01,0.00,0.00,0.00,0.00,0.00,33.70,-8.60,8040,-8.45,710.192672
Jan-42,-0.69,0.00,0.00,0.00,0.00,0.00,35.60,-13.00,4021,-4027.45,-2855.5125
Feb-42,-0.05,0.00,0.00,0.00,0.00,0.00,52.80,-3.60,9081,1032.55,3313.597998
Mar-42,0.79,0.00,0.00,0.00,0.00,0.00,54.20,-5.80,7137,-911.45,155.164086
Apr-42,0.09,0.00,0.00,0.00,0.00,0.00,60.70,-5.50,9355,1306.55,3004.908192
May-42,-0.28,0.00,0.00,0.00,0.00,0.00,25.00,5.20,9651,1602.55,-606.28008
Jun-42,0.50,0.00,0.00,0.00,0.00,0.00,11.40,8.30,8017,-31.45,-1931.16775
Jul-42,-0.02,0.00,0.00,0.00,0.00,0.00,17.70,-1.00,7526,-522.45,-2312.357454
Aug-42,-0.63,0.00,0.00,0.00,0.00,0.00,20.20,4.00,6970,-1078.45,-1034.79817
Sep-42,0.10,0.00,0.00,0.00,0.00,0.00,17.20,8.70,5542,-2506.45,-3731.218562
Oct-42,-0.41,0.00,0.00,0.00,0.00,0.00,19.20,8.50,6644,-1404.45,-2798.979872
Nov-42,0.07,0.00,0.00,0.00,0.00,0.00,30.70,-4.00,2675,-5373.45,-3513.402825
Dec-42,0.19,0.00,0.00,0.00,0.00,0.00,22.50,13.80,2035,-6013.45,-2181.645256
Jan-43,1.60,0.00,0.00,0.00,0.00,0.00,12.50,9.40,1890,-6158.45,-2712.6375
Feb-43,-0.09,0.00,0.00,0.00,0.00,0.00,28.90,10.50,3149,-4899.45,-1206.031688
Mar-43,0.43,0.00,0.00,0.00,0.00,0.00,27.40,4.00,2356,-5692.45,-1827.328194
Apr-43,-0.78,0.00,0.00,0.00,0.00,0.00,26.10,13.50,1523,-6525.45,-1741.082904
May-43,-0.48,0.00,0.00,0.00,0.00,0.00,14.10,2.80,2739,-5309.45,-1717.356816
Jun-43,0.17,0.00,0.00,0.00,0.00,0.00,7.60,-7.90,9759,1710.55,3936.655125
Jul-43,-0.31,0.00,0.00,0.00,0.00,0.00,13.20,2.90,6895,-1153.45,-1276.55154
Aug-43,-0.20,0.00,0.00,0.00,0.00,0.00,19.40,7.80,11462,3413.55,3682.062713
Sep-43,-0.04,0.00,0.00,0.00,0.00,0.00,10.00,5.70,9647,1598.55,-2233.768316
Oct-43,0.66,0.00,0.00,0.00,0.00,0.00,7.80,9.10,7349,-699.45,-4080.95742
Nov-43,0.43,0.00,0.00,0.00,0.00,0.00,10.20,3.90,4592,-3456.45,-1898.195844
Dec-43,-0.63,0.00,0.00,0.00,0.00,0.00,18.80,-8.60,2579,-5469.45,-2393.94176
Jan-44,-1.24,0.00,0.00,0.00,0.00,0.00,3.70,-8.20,5426,-2622.45,617.3625
