ipi
72
69
77
79
80
77
83
83
82
89
83
74
74
71
77
76
79
76
81
81
85
90
84
77
76
74
86
82
86
86
90
92
92
93
91
84
81
76
88
87
91
91
90
95
92
93
92
86
83
80
92
85
95
91
93
98
93
97
95
87
87
82
96
90
99
96
99
104
98
107
102
92
94
91
97
99
102
103
108
106
107
108
96
79
78
76
88
85
91
92
97
99
99
105
101
94
91
89
105
99
104
102
106
108
105
107
106
96
93
95
104
97
107
102
106
110
104
106
104
95
88
89
99
92
102
98
104
111
103
111
104
92
94
88
97
101
105
101
108
112
107
112
106
90
92
92
97
95
101
94
104
106
105
108
99
87
